method,weighted_f1_mean,weighted_f1_std,macro_f1_all_mean,macro_f1_all_std,macro_f1_eligible_mean,macro_f1_eligible_std,Hemiptera_f1_mean,Hemiptera_f1_std,Coleoptera_f1_mean,Coleoptera_f1_std
frozen_linear_probe,0.9663,0.0014,0.7074,0.0092,0.8626,0.0197,0.7356,0.0175,0.823,0.028
lora_linear_probe,0.9798,0.0001,0.7102,0.0103,0.9063,0.0067,0.8885,0.0088,0.8996,0.0041
