BioCLIP2,,,,,,,,,,,,,,,
TRUE,Araneae,Blattodea,Coleoptera,Diptera,Hemiptera,Hymenoptera,Ixodida,Lepidoptera,Mecoptera,Neuroptera,Orthoptera,Plecoptera,Raphidioptera,Trichoptera,<other>
Araneae,98,0,0.7,0.2,0,0.9,0,0,0,0,0,0,0,0,0.2
Blattodea,0,82.6,4.3,0,13,0,0,0,0,0,0,0,0,0,0
Coleoptera,0.8,0,56.6,6.5,18.7,4.4,0,0.6,0,0,0.2,0,0,0,12.2
Diptera,0.1,0.4,3.6,84.2,9.2,0.7,0,0.7,0,0.1,0.3,0,0,0,0.7
Hemiptera,0.5,0.4,5.7,12.6,61.9,0.8,0.1,2.1,0,0,6.8,0,0,0.1,8.9
Hymenoptera,0.1,0.1,4.1,4.8,6.3,79.5,0,0.2,0,0.2,0.1,0.1,0,0.1,4.7
Ixodida,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepidoptera,0,0,0.1,0.3,0.3,0.1,0,98.5,0,0.2,0,0.1,0,0.4,0.1
Mecoptera,0,0,0,44.1,0,47.1,0,0,5.9,0,0,0,0,0,2.9
Neuroptera,0,0,1.7,7,44.3,0.9,0,11.3,0,10.4,0,0.9,0,0,23.5
Orthoptera,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
Plecoptera,0,0,0,0,0,9.3,0,0,0,0,0,90.7,0,0,0
Raphidioptera,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
Trichoptera,0,0,2.4,0,2.4,1.2,0,7.1,0,3.5,0,2.4,0,81.2,0
