config,n_slots,fold,class,precision,recall,f1,support
softprompt_N4,4,1,Mecoptera,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
softprompt_N4,4,1,Neuroptera,0.8275862068965517,0.631578947368421,0.7164179104477612,38.0
softprompt_N4,4,1,Orthoptera,1.0,1.0,1.0,3.0
softprompt_N4,4,1,Plecoptera,1.0,0.9444444444444444,0.9714285714285714,18.0
softprompt_N4,4,1,Raphidioptera,0.0,0.0,0.0,0.0
softprompt_N4,4,1,Trichoptera,0.9,0.9642857142857143,0.9310344827586207,28.0
softprompt_N4,4,2,Araneae,0.9789473684210527,0.9893617021276596,0.9841269841269841,188.0
softprompt_N4,4,2,Blattodea,0.8888888888888888,1.0,0.9411764705882353,8.0
softprompt_N4,4,2,Coleoptera,0.8836565096952909,0.8372703412073491,0.8598382749326146,381.0
softprompt_N4,4,2,Diptera,0.9790872757691236,0.9902237262643354,0.9846240127120625,10638.0
softprompt_N4,4,2,Hemiptera,0.8480392156862745,0.667953667953668,0.7473002159827213,259.0
softprompt_N4,4,2,Hymenoptera,0.9420955882352942,0.9250902527075813,0.9335154826958105,1108.0
softprompt_N4,4,2,Ixodida,0.0,0.0,0.0,0.0
softprompt_N4,4,2,Lepidoptera,0.9895833333333334,0.9810671256454389,0.9853068280034573,581.0
softprompt_N4,4,2,Mecoptera,1.0,0.36363636363636365,0.5333333333333333,11.0
softprompt_N4,4,2,Neuroptera,0.6071428571428571,0.4473684210526316,0.5151515151515151,38.0
softprompt_N4,4,2,Orthoptera,1.0,1.0,1.0,2.0
softprompt_N4,4,2,Plecoptera,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
softprompt_N4,4,2,Raphidioptera,1.0,1.0,1.0,1.0
softprompt_N4,4,2,Trichoptera,1.0,0.7586206896551724,0.8627450980392157,29.0
softprompt_N8,8,0,Araneae,0.9945652173913043,0.973404255319149,0.9838709677419355,188.0
softprompt_N8,8,0,Blattodea,0.7777777777777778,1.0,0.875,7.0
softprompt_N8,8,0,Coleoptera,0.9044776119402985,0.7952755905511811,0.8463687150837989,381.0
softprompt_N8,8,0,Diptera,0.9777468706536857,0.9912577552171461,0.9844559585492227,10638.0
softprompt_N8,8,0,Hemiptera,0.8461538461538461,0.6821705426356589,0.7553648068669528,258.0
softprompt_N8,8,0,Hymenoptera,0.9489322191272052,0.9215509467989179,0.9350411710887465,1109.0
softprompt_N8,8,0,Ixodida,0.0,0.0,0.0,0.0
softprompt_N8,8,0,Lepidoptera,0.9931153184165232,0.9914089347079038,0.9922613929492692,582.0
softprompt_N8,8,0,Mecoptera,0.5,0.45454545454545453,0.47619047619047616,11.0
softprompt_N8,8,0,Neuroptera,0.88,0.5641025641025641,0.6875,39.0
softprompt_N8,8,0,Orthoptera,1.0,1.0,1.0,3.0
softprompt_N8,8,0,Plecoptera,1.0,0.8888888888888888,0.9411764705882353,18.0
softprompt_N8,8,0,Raphidioptera,0.0,0.0,0.0,1.0
softprompt_N8,8,0,Trichoptera,0.9,0.9642857142857143,0.9310344827586207,28.0
softprompt_N8,8,1,Araneae,0.9945945945945946,0.9787234042553191,0.9865951742627346,188.0
softprompt_N8,8,1,Blattodea,1.0,0.875,0.9333333333333333,8.0
softprompt_N8,8,1,Coleoptera,0.8958990536277602,0.7454068241469817,0.8137535816618912,381.0
softprompt_N8,8,1,Diptera,0.9767549546212262,0.9914457604812935,0.9840455308826274,10638.0
softprompt_N8,8,1,Hemiptera,0.8787878787878788,0.6744186046511628,0.7631578947368421,258.0
softprompt_N8,8,1,Hymenoptera,0.9434306569343066,0.9323715058611362,0.9378684807256236,1109.0
softprompt_N8,8,1,Ixodida,0.0,0.0,0.0,1.0
softprompt_N8,8,1,Lepidoptera,0.9930915371329879,0.9896729776247849,0.9913793103448276,581.0
softprompt_N8,8,1,Mecoptera,1.0,0.3333333333333333,0.5,12.0
softprompt_N8,8,1,Neuroptera,0.8275862068965517,0.631578947368421,0.7164179104477612,38.0
softprompt_N8,8,1,Orthoptera,1.0,1.0,1.0,3.0
softprompt_N8,8,1,Plecoptera,1.0,0.9444444444444444,0.9714285714285714,18.0
softprompt_N8,8,1,Raphidioptera,0.0,0.0,0.0,0.0
softprompt_N8,8,1,Trichoptera,0.9,0.9642857142857143,0.9310344827586207,28.0
softprompt_N8,8,2,Araneae,0.9842105263157894,0.9946808510638298,0.9894179894179894,188.0
softprompt_N8,8,2,Blattodea,0.8888888888888888,1.0,0.9411764705882353,8.0
softprompt_N8,8,2,Coleoptera,0.8942857142857142,0.821522309711286,0.8563611491108071,381.0
softprompt_N8,8,2,Diptera,0.9783798830843463,0.9911637525850724,0.9847303292084987,10638.0
softprompt_N8,8,2,Hemiptera,0.8571428571428571,0.6718146718146718,0.7532467532467533,259.0
softprompt_N8,8,2,Hymenoptera,0.9427516158818098,0.9214801444043321,0.9319945230488361,1108.0
softprompt_N8,8,2,Ixodida,0.0,0.0,0.0,0.0
softprompt_N8,8,2,Lepidoptera,0.9895833333333334,0.9810671256454389,0.9853068280034573,581.0
softprompt_N8,8,2,Mecoptera,1.0,0.2727272727272727,0.42857142857142855,11.0
softprompt_N8,8,2,Neuroptera,0.6206896551724138,0.47368421052631576,0.5373134328358209,38.0
softprompt_N8,8,2,Orthoptera,1.0,1.0,1.0,2.0
softprompt_N8,8,2,Plecoptera,1.0,0.9444444444444444,0.9714285714285714,18.0
softprompt_N8,8,2,Raphidioptera,1.0,1.0,1.0,1.0
softprompt_N8,8,2,Trichoptera,1.0,0.7586206896551724,0.8627450980392157,29.0
