,precision,recall,f1-score,support
Araneae,0.991,0.982,0.987,564.0
Blattodea,0.88,0.957,0.917,23.0
Coleoptera,0.898,0.787,0.839,1143.0
Diptera,0.978,0.991,0.984,31914.0
Hemiptera,0.86,0.676,0.757,775.0
Hymenoptera,0.945,0.925,0.935,3326.0
Ixodida,0.0,0.0,0.0,1.0
Lepidoptera,0.992,0.987,0.99,1744.0
Mecoptera,0.706,0.353,0.471,34.0
Neuroptera,0.771,0.557,0.646,115.0
Orthoptera,1.0,1.0,1.0,8.0
Plecoptera,1.0,0.926,0.962,54.0
Raphidioptera,1.0,0.5,0.667,2.0
Trichoptera,0.927,0.894,0.91,85.0
accuracy,0.971,0.971,0.971,0.971
macro avg,0.853,0.753,0.79,39788.0
weighted avg,0.97,0.971,0.97,39788.0
